contest,pref_voter_id,serial_number,tally,precinct,vote_rank,candidate,over_vote,under_vote
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005378,0000001,Vote by Mail - 400C,204310,1,DEBORAH MATTHEWS,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005378,0000001,Vote by Mail - 400C,204310,2,MARK A. COPLAN,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005378,0000001,Vote by Mail - 400C,204310,3,BEN BARTLETT,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005379,0000001,Vote by Mail - 400C,204310,1,MARK A. COPLAN,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005379,0000001,Vote by Mail - 400C,204310,2,MARK A. COPLAN,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005379,0000001,Vote by Mail - 400C,204310,3,MARK A. COPLAN,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005380,0000001,Vote by Mail - 400C,204310,1,BEN BARTLETT,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005380,0000001,Vote by Mail - 400C,204310,2,DEBORAH MATTHEWS,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005380,0000001,Vote by Mail - 400C,204310,3,MARK A. COPLAN,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005381,0000001,Vote by Mail - 400C,204310,1,DEBORAH MATTHEWS,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005381,0000001,Vote by Mail - 400C,204310,2,MARK A. COPLAN,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005381,0000001,Vote by Mail - 400C,204310,3,NA,0,1
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005382,0000001,Vote by Mail - 400C,204310,1,NA,0,1
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005382,0000001,Vote by Mail - 400C,204310,2,NA,0,1
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005382,0000001,Vote by Mail - 400C,204310,3,NA,0,1
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005383,0000001,Vote by Mail - 400C,204310,1,DEBORAH MATTHEWS,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005383,0000001,Vote by Mail - 400C,204310,2,BEN BARTLETT,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005383,0000001,Vote by Mail - 400C,204310,3,MARK A. COPLAN,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005384,0000001,Vote by Mail - 400C,204310,1,BEN BARTLETT,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005384,0000001,Vote by Mail - 400C,204310,2,DEBORAH MATTHEWS,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005384,0000001,Vote by Mail - 400C,204310,3,MARK A. COPLAN,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005385,0000001,Vote by Mail - 400C,204310,1,NA,0,1
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005385,0000001,Vote by Mail - 400C,204310,2,NA,0,1
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005385,0000001,Vote by Mail - 400C,204310,3,NA,0,1
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005386,0000001,Vote by Mail - 400C,204310,1,BEN BARTLETT,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005386,0000001,Vote by Mail - 400C,204310,2,MARK A. COPLAN,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005386,0000001,Vote by Mail - 400C,204310,3,NA,0,1
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005387,0000001,Vote by Mail - 400C,204310,1,BEN BARTLETT,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005387,0000001,Vote by Mail - 400C,204310,2,MARK A. COPLAN,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005387,0000001,Vote by Mail - 400C,204310,3,DEBORAH MATTHEWS,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005388,0000001,Vote by Mail - 400C,204310,1,BEN BARTLETT,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005388,0000001,Vote by Mail - 400C,204310,2,DEBORAH MATTHEWS,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005388,0000001,Vote by Mail - 400C,204310,3,AL G. MURRAY,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005389,0000001,Vote by Mail - 400C,204310,1,BEN BARTLETT,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005389,0000001,Vote by Mail - 400C,204310,2,DEBORAH MATTHEWS,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005389,0000001,Vote by Mail - 400C,204310,3,MARK A. COPLAN,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005390,0000001,Vote by Mail - 400C,204310,1,BEN BARTLETT,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005390,0000001,Vote by Mail - 400C,204310,2,NA,0,1
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005390,0000001,Vote by Mail - 400C,204310,3,NA,0,1
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005391,0000001,Vote by Mail - 400C,204310,1,BEN BARTLETT,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005391,0000001,Vote by Mail - 400C,204310,2,MARK A. COPLAN,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005391,0000001,Vote by Mail - 400C,204310,3,NA,0,1
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005392,0000001,Vote by Mail - 400C,204310,1,MARK A. COPLAN,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005392,0000001,Vote by Mail - 400C,204310,2,MARK A. COPLAN,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005392,0000001,Vote by Mail - 400C,204310,3,MARK A. COPLAN,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005393,0000001,Vote by Mail - 400C,204310,1,DEBORAH MATTHEWS,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005393,0000001,Vote by Mail - 400C,204310,2,NA,0,1
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005393,0000001,Vote by Mail - 400C,204310,3,NA,0,1
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005394,0000001,Vote by Mail - 400C,204310,1,DEBORAH MATTHEWS,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005394,0000001,Vote by Mail - 400C,204310,2,NA,0,1
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005394,0000001,Vote by Mail - 400C,204310,3,NA,0,1
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005395,0000001,Vote by Mail - 400C,204310,1,DEBORAH MATTHEWS,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005395,0000001,Vote by Mail - 400C,204310,2,NA,0,1
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005395,0000001,Vote by Mail - 400C,204310,3,NA,0,1
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005396,0000001,Vote by Mail - 400C,204310,1,MARK A. COPLAN,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005396,0000001,Vote by Mail - 400C,204310,2,BEN BARTLETT,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005396,0000001,Vote by Mail - 400C,204310,3,DEBORAH MATTHEWS,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005397,0000001,Vote by Mail - 400C,204310,1,BEN BARTLETT,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005397,0000001,Vote by Mail - 400C,204310,2,MARK A. COPLAN,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005397,0000001,Vote by Mail - 400C,204310,3,AL G. MURRAY,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005398,0000001,Vote by Mail - 400C,204310,1,NA,0,1
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005398,0000001,Vote by Mail - 400C,204310,2,NA,0,1
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005398,0000001,Vote by Mail - 400C,204310,3,NA,0,1
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005399,0000001,Vote by Mail - 400C,204310,1,BEN BARTLETT,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005399,0000001,Vote by Mail - 400C,204310,2,MARK A. COPLAN,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005399,0000001,Vote by Mail - 400C,204310,3,DEBORAH MATTHEWS,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005400,0000001,Vote by Mail - 400C,204310,1,MARK A. COPLAN,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005400,0000001,Vote by Mail - 400C,204310,2,BEN BARTLETT,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005400,0000001,Vote by Mail - 400C,204310,3,NA,0,1
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005401,0000001,Vote by Mail - 400C,204310,1,BEN BARTLETT,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005401,0000001,Vote by Mail - 400C,204310,2,MARK A. COPLAN,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005401,0000001,Vote by Mail - 400C,204310,3,DEBORAH MATTHEWS,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005402,0000001,Vote by Mail - 400C,204310,1,BEN BARTLETT,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005402,0000001,Vote by Mail - 400C,204310,2,DEBORAH MATTHEWS,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005402,0000001,Vote by Mail - 400C,204310,3,MARK A. COPLAN,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005403,0000001,Vote by Mail - 400C,204310,1,BEN BARTLETT,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005403,0000001,Vote by Mail - 400C,204310,2,MARK A. COPLAN,0,0
"Member, City Council, Dist. 3 - Berkeley (RCV)",000005403,0000001,Vote by Mail - 400C,204310,3,AL G. MURRAY,0,0
